source_dataset,pid,name,noneng-name,owner,areas,subnat,status,start-year,capacity,capacity-display,Cement-Capacity-(millions-metric-tonnes-per-annum),Clinker-Capacity-(millions-metric-tonnes-per-annum),prod-type,latitude,longitude,Latitude,Longitude,url,altf-yn,areas-subnat-sat-display,capacity-details,capacity-table,ccs-yn,cem-type,claycal-yn,color,loc-owner,location-accuracy,name-search,owner-search,plant-type,scaling-capacity,status-legend,tracker-acro,tracker-custom,tracker-display,units-of-m
cement,P100000123747,Xinjiang Tianshan Cement Co Ltd Cement Plant,新疆天山水泥有限责任公司 (Chinese),Xinjiang Tianshan Cement Co Ltd [100.0%],China;,Xinjiang,operating,,0.008,>0,>0,>0,dry,43.749069,87.583228,43.749069,87.583228,https://www.gem.wiki/Xinjiang_Tianshan_Cement_Co_Ltd_Cement_Plant,no,"Xinjiang, China",0.008,0.008,no,unknown,no,,新疆天山水泥有限责任公司 (Chinese) [100%],exact,Xinjiang Tianshan Cement Co Ltd Cement Plant,Xinjiang Tianshan Cement Co Ltd [100.0%],integrated,0.008,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123748,Jiangnan Onoda Cement Co Ltd Cement Plant,江南-小野田水泥有限公司 (Chinese),Jiangnan Onoda Cement Co Ltd [100.0%],China;,Jiangsu,operating,1996,1.35,1.35,1.35,1.46,dry,32.160389,118.975255,32.160389,118.975255,https://www.gem.wiki/Jiangnan_Onoda_Cement_Co_Ltd_Cement_Plant,no,"Jiangsu, China",1.35,1.35,no,opc,no,grey,江南-小野田水泥有限公司 (Chinese) [100%],exact,Jiangnan Onoda Cement Co Ltd Cement Plant,Jiangnan Onoda Cement Co Ltd [100.0%],integrated,1.35,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123749,Dalian Onoda Cement Co Ltd Cement Plant,大连小野田水泥有限公司 (Chinese),Dalian Onoda Cement Co Ltd [100.0%],China;,Liaoning,operating,1992,1.6,1.6,1.6,1.46,dry,38.993604,121.538527,38.993604,121.538527,https://www.gem.wiki/Dalian_Onoda_Cement_Co_Ltd_Cement_Plant,no,"Liaoning, China",1.6,1.6,no,unknown,no,,大连小野田水泥有限公司 (Chinese) [100%],exact,Dalian Onoda Cement Co Ltd Cement Plant,Dalian Onoda Cement Co Ltd [100.0%],integrated,1.6,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123750,Qinhuangdao Asano Cement Co Ltd Cement Plant,秦皇岛浅野水泥有限公司 (Chinese),Qinhuangdao Asano Cement Co Ltd [100.0%],China;,Hebei,operating,1997,1.38,1.38,1.38,1.46,dry,40.006837,119.519288,40.006837,119.519288,https://www.gem.wiki/Qinhuangdao_Asano_Cement_Co_Ltd_Cement_Plant,no,"Hebei, China",1.38,1.38,no,opc,no,grey,秦皇岛浅野水泥有限公司 (Chinese) [100%],exact,Qinhuangdao Asano Cement Co Ltd Cement Plant,Qinhuangdao Asano Cement Co Ltd [100.0%],integrated,1.38,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123751,TCC Huaihua Cement Co Ltd Cement Plant,台泥（怀化）水泥有限公司 (Chinese),TCC Huaihua Cement Co Ltd [100.0%],China;,Hunan,operating,2020,2.3,2.3,2.3,1.55,dry,27.596557,110.095778,27.596557,110.095778,https://www.gem.wiki/TCC_Huaihua_Cement_Co_Ltd_Cement_Plant,no,"Hunan, China",2.3,2.3,no,blended,no,grey,台泥（怀化）水泥有限公司 (Chinese) [100%],exact,TCC Huaihua Cement Co Ltd Cement Plant,TCC Huaihua Cement Co Ltd [100.0%],integrated,2.3,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123752,TCC Yingde Cement Co Ltd Cement Plant,台泥（英德）水泥有限公司 (Chinese),TCC Yingde Cement Co Ltd [100.0%],China;,Guangdong,operating,2006,9,9,9,8.76,dry,24.252698,113.404641,24.252698,113.404641,https://www.gem.wiki/TCC_Yingde_Cement_Co_Ltd_Cement_Plant,no,"Guangdong, China",9,9,no,unknown,no,,台泥（英德）水泥有限公司 (Chinese) [100%],exact,TCC Yingde Cement Co Ltd Cement Plant,TCC Yingde Cement Co Ltd [100.0%],integrated,9.0,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123753,Tcc Guigang Cement Co Ltd Cement Plant,台泥（贵港）水泥有限公司 (Chinese),Tcc (Guigang) Cement Co Ltd [100.0%],China;,Guangxi,operating,2008,9,9,9,8.76,dry,23.144596,109.355321,23.144596,109.355321,https://www.gem.wiki/Tcc_Guigang_Cement_Co_Ltd_Cement_Plant,no,"Guangxi, China",9,9,no,opc,no,grey,台泥（贵港）水泥有限公司 (Chinese) [100%],exact,Tcc Guigang Cement Co Ltd Cement Plant,Tcc (Guigang) Cement Co Ltd [100.0%],integrated,9.0,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123754,Jurong TCC Cement Co Ltd Cement Plant,句容台泥水泥有限公司 (Chinese),Jurong TCC Cement Co Ltd [100.0%],China;,Jiangsu,operating,,4.2,4.2,4.2,3.8,dry,32.191549,119.258714,32.191549,119.258714,https://www.gem.wiki/Jurong_TCC_Cement_Co_Ltd_Cement_Plant,no,"Jiangsu, China",4.2,4.2,no,opc,no,grey,句容台泥水泥有限公司 (Chinese) [100%],exact,Jurong TCC Cement Co Ltd Cement Plant,Jurong TCC Cement Co Ltd [100.0%],integrated,4.2,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123755,Guizhou Gangan Cement Co Ltd Cement Plant,贵州港安水泥有限公司 (Chinese),Guizhou Gangan Cement Co Ltd [100.0%],China;,Guizhou,operating,2011,1.37,1.37,1.37,6,dry,25.952873,105.574714,25.952873,105.574714,https://www.gem.wiki/Guizhou_Gangan_Cement_Co_Ltd_Cement_Plant,no,"Guizhou, China",1.37,1.37,no,opc,no,grey,贵州港安水泥有限公司 (Chinese) [100%],exact,Guizhou Gangan Cement Co Ltd Cement Plant,Guizhou Gangan Cement Co Ltd [100.0%],integrated,1.37,operating,GCCT,GCCT,Cement and Concrete,n/a
cement,P100000123756,Luzhou Saide Cement Co Ltd Cement Plant,泸州赛德水泥有限公司 (Chinese),Luzhou Saide Cement Co Ltd [100.0%],China;,Sichuan,operating,2020,1,1,1,1.68,dry,28.089634,105.536282,28.089634,105.536282,https://www.gem.wiki/Luzhou_Saide_Cement_Co_Ltd_Cement_Plant,no,"Sichuan, China",1,1,no,opc,no,grey,泸州赛德水泥有限公司 (Chinese) [100%],exact,Luzhou Saide Cement Co Ltd Cement Plant,Luzhou Saide Cement Co Ltd [100.0%],integrated,1.0,operating,GCCT,GCCT,Cement and Concrete,n/a
