ceads_city_id,city_name_zh,city_name_clean_zh,year,emissions_mtco2,join_status,source
福建南平2019,福建南平,福建南平,2019,6.510956756826552,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
福建厦门2019,福建厦门,福建厦门,2019,15.243293199806779,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
福建宁德2019,福建宁德,福建宁德,2019,20.714310620569705,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
福建泉州2019,福建泉州,福建泉州,2019,69.90637884064772,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
福建漳州2019,福建漳州,福建漳州,2019,41.297783193990355,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
福建福州2019,福建福州,福建福州,2019,60.115611465417786,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
福建莆田2019,福建莆田,福建莆田,2019,16.425319557076556,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
福建龙岩2019,福建龙岩,福建龙岩,2019,29.101194479667637,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
江西上饶2019,江西上饶,江西上饶,2019,20.267110687888014,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
江西九江2019,江西九江,江西九江,2019,52.601572392133676,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
江西南昌2019,江西南昌,江西南昌,2019,24.556265599837204,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
江西萍乡2019,江西萍乡,江西萍乡,2019,25.684960402306494,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
江西赣州2019,江西赣州,江西赣州,2019,19.946508332223562,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
山东东营2019,山东东营,山东东营,2019,55.695423114364736,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
山东临沂2019,山东临沂,山东临沂,2019,48.6325782126508,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
山东威海2019,山东威海,山东威海,2019,16.79383939467794,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
山东德州2019,山东德州,山东德州,2019,55.71703743491861,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
山东济南2019,山东济南,山东济南,2019,103.71513317299876,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
山东济宁2019,山东济宁,山东济宁,2019,77.50996099584526,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
山东淄博2019,山东淄博,山东淄博,2019,83.0473029899514,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
山东滨州2019,山东滨州,山东滨州,2019,138.4886450068447,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
山东烟台2019,山东烟台,山东烟台,2019,57.81035735848502,legacy_join_target_crosswalked_separately,CEADs 1997-2019 290-city emission inventory
