sector,subsector,source_id,source_name,source_type,year,lat,lon,gas,emissions_tco2,activity_sum,activity_units,capacity,capacity_units,rows
manufacturing,aluminum,3673002,Chiping Shandong aluminium plant,Smelting,2024,36.5865512,116.2406737,co2,2868936.4528611237,1147574.58114445,t of alumina/aluminum,114344.26229508196,t of alumina/aluminum,12
manufacturing,aluminum,3673002,Chiping Shandong aluminium plant,Smelting,2025,36.5865512,116.2406737,co2,2895383.3479955937,1158153.3391982375,t of alumina/aluminum,114657.53424657533,t of alumina/aluminum,12
manufacturing,aluminum,3673002,Chiping Shandong aluminium plant,Smelting,2026,36.5865512,116.2406737,co2,249496.96431779765,99798.78572711906,t of alumina/aluminum,114657.53424657533,t of alumina/aluminum,1
manufacturing,aluminum,48193116,Chongqing Municipality,Refinery,2021,30.0551333912639,107.864488420692,co2,3992386.7284196,1584740.0240599962,t of alumina/aluminum,163915.25145010388,t of alumina/aluminum,12
manufacturing,aluminum,48193116,Chongqing Municipality,Refinery,2022,30.0551333912639,107.864488420692,co2,3892497.293884379,1694264.1992372468,t of alumina/aluminum,169418.33573687857,t of alumina/aluminum,12
manufacturing,aluminum,48193116,Chongqing Municipality,Refinery,2023,30.0551333912639,107.864488420692,co2,3075528.1930263257,1755284.4454682737,t of alumina/aluminum,172745.78204981211,t of alumina/aluminum,12
manufacturing,aluminum,48193116,Chongqing Municipality,Refinery,2024,30.0551333912639,107.864488420692,co2,3095299.1058895797,1825058.435076403,t of alumina/aluminum,178000.059303793,t of alumina/aluminum,12
manufacturing,aluminum,48193116,Chongqing Municipality,Refinery,2025,30.0551333912639,107.864488420692,co2,3383153.312549591,1994783.7927768815,t of alumina/aluminum,204676.4687835396,t of alumina/aluminum,12
manufacturing,aluminum,48193116,Chongqing Municipality,Refinery,2026,30.0551333912639,107.864488420692,co2,288818.08923292364,170293.68468922385,t of alumina/aluminum,212867.1058615298,t of alumina/aluminum,1
manufacturing,aluminum,3673000,Chongqing Sechuan aluminium plant,Smelting,2021,29.8477939023068,106.099195475628,co2,679466.6741915457,271786.6696766183,t of alumina/aluminum,31594.520547945205,t of alumina/aluminum,12
manufacturing,aluminum,3673000,Chongqing Sechuan aluminium plant,Smelting,2022,29.8477939023068,106.099195475628,co2,860114.3772160584,344045.7508864234,t of alumina/aluminum,31594.520547945205,t of alumina/aluminum,12
manufacturing,aluminum,3673000,Chongqing Sechuan aluminium plant,Smelting,2023,29.8477939023068,106.099195475628,co2,834757.139186374,333902.8556745496,t of alumina/aluminum,31594.520547945205,t of alumina/aluminum,12
manufacturing,aluminum,3673000,Chongqing Sechuan aluminium plant,Smelting,2024,29.8477939023068,106.099195475628,co2,790551.3781217318,316220.55124869273,t of alumina/aluminum,31508.196721311473,t of alumina/aluminum,12
manufacturing,aluminum,3673000,Chongqing Sechuan aluminium plant,Smelting,2025,29.8477939023068,106.099195475628,co2,797838.9670032304,319135.5868012922,t of alumina/aluminum,31594.520547945205,t of alumina/aluminum,12
manufacturing,aluminum,3673000,Chongqing Sechuan aluminium plant,Smelting,2026,29.8477939023068,106.099195475628,co2,68750.27461201536,27500.109844806146,t of alumina/aluminum,31594.520547945205,t of alumina/aluminum,1
manufacturing,aluminum,3673023,Chongqing Tiantai aluminium plant,Smelting,2021,30.0104556,107.0938925,co2,679466.6741915457,271786.6696766183,t of alumina/aluminum,31594.520547945205,t of alumina/aluminum,12
manufacturing,aluminum,3673023,Chongqing Tiantai aluminium plant,Smelting,2022,30.0104556,107.0938925,co2,860114.3772160584,344045.7508864234,t of alumina/aluminum,31594.520547945205,t of alumina/aluminum,12
manufacturing,aluminum,3673023,Chongqing Tiantai aluminium plant,Smelting,2023,30.0104556,107.0938925,co2,834757.139186374,333902.8556745496,t of alumina/aluminum,31594.520547945205,t of alumina/aluminum,12
manufacturing,aluminum,3673023,Chongqing Tiantai aluminium plant,Smelting,2024,30.0104556,107.0938925,co2,790551.3781217318,316220.55124869273,t of alumina/aluminum,31508.196721311473,t of alumina/aluminum,12
manufacturing,aluminum,3673023,Chongqing Tiantai aluminium plant,Smelting,2025,30.0104556,107.0938925,co2,797838.9670032304,319135.5868012922,t of alumina/aluminum,31594.520547945205,t of alumina/aluminum,12
manufacturing,aluminum,3673023,Chongqing Tiantai aluminium plant,Smelting,2026,30.0104556,107.0938925,co2,68750.27461201536,27500.109844806146,t of alumina/aluminum,31594.520547945205,t of alumina/aluminum,1
manufacturing,aluminum,43765145,Chongqing aluminium plant,Smelting,2021,29.5745199158661,106.557465631754,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765145,Chongqing aluminium plant,Smelting,2022,29.5745199158661,106.557465631754,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765145,Chongqing aluminium plant,Smelting,2023,29.5745199158661,106.557465631754,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765145,Chongqing aluminium plant,Smelting,2024,29.5745199158661,106.557465631754,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765145,Chongqing aluminium plant,Smelting,2025,29.5745199158661,106.557465631754,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765145,Chongqing aluminium plant,Smelting,2026,29.5745199158661,106.557465631754,co2,15816.355324792594,6326.5421299170375,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,1
manufacturing,aluminum,43765146,Chuangyuan aluminium plant,Smelting,2021,34.7718046458293,113.322493616369,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765146,Chuangyuan aluminium plant,Smelting,2022,34.7718046458293,113.322493616369,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765146,Chuangyuan aluminium plant,Smelting,2023,34.7718046458293,113.322493616369,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765146,Chuangyuan aluminium plant,Smelting,2024,34.7718046458293,113.322493616369,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765146,Chuangyuan aluminium plant,Smelting,2025,34.7718046458293,113.322493616369,co2,182652.3317719209,73060.93270876835,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,12
manufacturing,aluminum,43765146,Chuangyuan aluminium plant,Smelting,2026,34.7718046458293,113.322493616369,co2,15816.355324792594,6326.5421299170375,t of alumina/aluminum,8493.150684931506,t of alumina/aluminum,1
manufacturing,aluminum,3672981,"Datong Xian, Qinghai aluminium plant",Smelting,2021,29.676991,107.227736,co2,796364.1665255751,318545.66661023,t of alumina/aluminum,37030.13698630137,t of alumina/aluminum,12
manufacturing,aluminum,3672981,"Datong Xian, Qinghai aluminium plant",Smelting,2022,29.676991,107.227736,co2,1008091.0442639826,403236.417705593,t of alumina/aluminum,37030.13698630137,t of alumina/aluminum,12
manufacturing,aluminum,3672981,"Datong Xian, Qinghai aluminium plant",Smelting,2023,29.676991,107.227736,co2,978371.2706592986,391348.5082637193,t of alumina/aluminum,37030.13698630137,t of alumina/aluminum,12
manufacturing,aluminum,3672981,"Datong Xian, Qinghai aluminium plant",Smelting,2024,29.676991,107.227736,co2,926560.2173684814,370624.0869473927,t of alumina/aluminum,36928.961748633876,t of alumina/aluminum,12
manufacturing,aluminum,3672981,"Datong Xian, Qinghai aluminium plant",Smelting,2025,29.676991,107.227736,co2,935101.5849822806,374040.63399291213,t of alumina/aluminum,37030.13698630137,t of alumina/aluminum,12
manufacturing,aluminum,3672981,"Datong Xian, Qinghai aluminium plant",Smelting,2026,29.676991,107.227736,co2,80578.27884634057,32231.311538536233,t of alumina/aluminum,37030.13698630137,t of alumina/aluminum,1
manufacturing,aluminum,3673011,Dongfang Xiwang aluminium plant,Smelting,2021,40.5667636546456,110.127454283267,co2,1424688.187820983,569875.2751283932,t of alumina/aluminum,66246.57534246575,t of alumina/aluminum,12
manufacturing,aluminum,3673011,Dongfang Xiwang aluminium plant,Smelting,2022,40.5667636546456,110.127454283267,co2,1803465.6296465744,721386.2518586298,t of alumina/aluminum,66246.57534246575,t of alumina/aluminum,12
manufacturing,aluminum,3673011,Dongfang Xiwang aluminium plant,Smelting,2023,40.5667636546456,110.127454283267,co2,1750297.2273262683,700118.8909305071,t of alumina/aluminum,66246.57534246575,t of alumina/aluminum,12
manufacturing,aluminum,3673011,Dongfang Xiwang aluminium plant,Smelting,2024,40.5667636546456,110.127454283267,co2,1657607.728319761,663043.0913279043,t of alumina/aluminum,66065.5737704918,t of alumina/aluminum,12
manufacturing,aluminum,3673011,Dongfang Xiwang aluminium plant,Smelting,2025,40.5667636546456,110.127454283267,co2,1672888.1566196766,669155.2626478705,t of alumina/aluminum,66246.57534246575,t of alumina/aluminum,12
manufacturing,aluminum,3673011,Dongfang Xiwang aluminium plant,Smelting,2026,40.5667636546456,110.127454283267,co2,144153.80160583864,57661.520642335454,t of alumina/aluminum,66246.57534246575,t of alumina/aluminum,1
manufacturing,aluminum,43765148,Donghai aluminium plant,Smelting,2021,37.7202711005697,120.467322649242,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
manufacturing,aluminum,43765148,Donghai aluminium plant,Smelting,2022,37.7202711005697,120.467322649242,co2,365304.6635438418,146121.8654175367,t of alumina/aluminum,16986.301369863013,t of alumina/aluminum,12
