entity_type,entity_id,latitude,longitude,prefecture_code,prefecture_name,province_code,province_name,boundary_level,join_method,fallback_distance_km,boundary_source,evidence_grade
source,CT_25452029,37.4493,116.2416,131100,衡水市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_450661,31.0611,121.4667,310000,上海市,310000,上海市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_449701,30.6939,114.5431,420100,武汉市,420000,湖北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454323,38.9961,118.4875,130200,唐山市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451551,40.6596,114.9438,130700,张家口市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25450215,33.0044,115.8453,341200,阜阳市,340000,安徽省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455941,37.3537,117.7793,371600,滨州市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566485,29.7871691267538,107.039695087302,500000,重庆市,500000,重庆市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451054,29.3474,106.4332,500000,重庆市,500000,重庆市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454704,31.1419,114.8922,421100,黄冈市,420000,湖北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454305,30.7607,121.4008,310000,上海市,310000,上海市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453436,21.5914,108.3946,450600,防城港市,450000,广西壮族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452781,30.5288,106.8265,511600,广安市,510000,四川省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566767,31.9811332566891,120.666776565838,320500,苏州市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_33998974,38.2781178932237,116.816648582076,130900,沧州市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453364,29.1866,119.5068,330700,金华市,330000,浙江省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_448250,39.0142,121.7244,210200,大连市,210000,辽宁省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_32441214,41.2730846949138,119.411398169997,211300,朝阳市,210000,辽宁省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453251,29.5054,121.6629,330200,宁波市,330000,浙江省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451153,32.2678,119.4194,321000,扬州市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_452482,44.8608,89.0233,652300,昌吉回族自治州,650000,新疆维吾尔自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451547,38.2451,114.2149,130100,石家庄市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451056,38.0573,114.1963,130100,石家庄市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_32440593,43.8487911351141,87.3081720834886,650100,乌鲁木齐市,650000,新疆维吾尔自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453569,31.2372,118.1497,340200,芜湖市,340000,安徽省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
