change,locode,name,name_wo_diacritics,subdivision,function,status,date,iata,coordinates,remarks,latitude,longitude,is_water_port
,CNYSN,Yangshan,Yangshan,GD,1-------,RL,1401,,,,,,1
,CNYSF,Yangshufang,Yangshufang,21,-----6--,RL,0901,,4014N 12226E,,40.233333,122.433333,0
,CNYSO,Yangshuo,Yangshuo,GX,1-------,RL,1401,,,,,,1
,CNYGG,Yanguan,Yanguan,HN,--3-----,AS,1407,,,,,,0
,CNYGX,Yangxi,Yangxi,HB,1-------,RL,1401,,,,,,1
,CNYXY,Yangxi,Yangxi,GD,--3-----,RL,1401,,2905N 10734E,,29.083333,107.566667,0
,CNYXT,Yangxifengtou,Yangxifengtou,GD,1-------,RL,1401,,,,,,1
,CNYNG,Yangzhong,Yangzhong,JS,1-3-----,RL,1401,,3213N 11949E,,32.216667,119.816667,1
,CNYZH,Yangzhou,Yangzhou,JS,1234----,AS,2107,,3223N 11926E,,32.383333,119.433333,1
,CNYNJ,Yanji Chaoyangchuan Apt,Yanji Chaoyangchuan Apt,JL,---4----,AS,1601,,,,,,0
,CNYJA,Yanjia,Yanjia,GZ,1-------,RL,1401,,,,,,1
,CNYLG,Yanliang,Yanliang,SN,--3-----,RQ,0101,,,,,,0
¦,CNYAT,Yantai,Yantai,SD,123456--,AS,2407,,3728N 12123E,,37.466667,121.383333,1
,CNYNT,Yantai Laishan International Apt,Yantai Laishan International Apt,SD,---4----,AS,1601,,,,,,0
,CNYTG,Yantai Pt,Yantai Pt,SD,1-------,AS,1401,,3733N 12125E,,37.550000,121.416667,1
¦,CNYTN,Yantian,Yantian,GD,123--6--,AS,2407,,2236N 11418E,coordinates,22.600000,114.300000,1
,CNYHO,Yanzhou,Yanzhou,SD,-2------,RL,1401,,,,,,0
,CNYGO,Yaogou,Yaogou,AH,1-------,RL,1401,,,,,,1
,CNYJP,Yaojia Pt,Yaojia Pt,HB,1-------,RL,1401,,,,,,1
,CNYIB,Yibin,Yibin,SC,1-------,AS,1407,,,,,,1
,CNYBP,Yibin Caiba Apt,Yibin Caiba Apt,SC,---4----,RL,1401,,,,,,0
,CNYIC,Yichang,Yichang,HB,--3-----,RL,1101,,3042N 11117E,,30.700000,111.283333,0
,CNYCG,Yichang Pt,Yichang Pt,HB,1-------,AS,1601,,,,,,1
,CNYIH,Yichang Sanxia Apt,Yichang Sanxia Apt,HB,---4----,AS,1601,,,,,,0
,CNYKS,Yierkeshi,Yierkeshi,XJ,--3--6--,RL,1401,,,,,,0
,CNYRK,Yierkeshitan,Yierkeshitan,XJ,--3-----,AS,1401,,,,,,0
,CNYLN,Yilan Apt,Yilan Apt,HL,---4----,RL,1401,,,,,,0
¦,CNYCH,Yinchuan,Yinchuan,NX,-2345---,AS,2407,,3827N 10616E,,38.450000,106.266667,0
,CNINC,Yinchuan Hedong International Apt,Yinchuan Hedong International Apt,NX,---4----,AS,1407,,,,,,0
,CNYCA,Yingchuan,Yingchuan,JS,1-------,RL,1401,,,,,,1
,CNYGD,Yingde,Yingde,GD,1-------,AS,1401,,,,,,1
,CNYGJ,Yingjiang,Yingjiang,YN,--3-----,AS,1601,,,,,,0
¦,CNYGT,Yingtan,Yingtan,JX,-23--6--,RL,2407,,2817N 11703E,,28.283333,117.050000,0
,CNLJY,Yingzai,Yingzai,GD,1-------,AS,1407,,2137N 11017E,,21.616667,110.283333,1
,CNYIN,Yining,Yining,XJ,-23--6--,AS,1401,,4355N 08120E,,43.916667,81.333333,0
,CNYIK,Yinkou,Yinkou,LN,1234----,AS,2107,,4039N 12213E,,40.650000,122.216667,1
,CNYHU,Yishui,Yishui,SD,--3-----,RL,0607,,3547N 11838E,,35.783333,118.633333,0
,CNYIU,Yiwu,Yiwu,ZJ,-2---6--,AS,2001,,2918N 12004E,,29.300000,120.066667,0
,CNYXA,Yixian,Yixian,13,--3-----,RL,0901,,3920N 11529E,,39.333333,115.483333,0
,CNYXS,Yixing,Yixing,JS,1-3-----,AS,1407,,,,,,1
,CNYIG,Yiyang,Yiyang,HN,--3-----,RQ,1001,,2835N 11219E,,28.583333,112.316667,0
,CNYIZ,Yizheng,Yizheng,JS,1-3-----,RL,0407,,3216N 11910E,,32.266667,119.166667,1
,CNYZA,Yizhuang,Yizhuang,BJ,--3--6--,RL,1401,,3948N 11629E,,39.800000,116.483333,0
,CNYGN,Yongan,Yongan,ZJ,1-------,RL,1401,,,,,,1
,CNYOX,Yong'an,Yong'an,FJ,--3-----,RL,1401,,2558N 11721E,,25.966667,117.350000,0
,CNYNC,"Yongchun,Quanzhou","Yongchun,Quanzhou",FJ,-23--6--,,2307,,2518N 11813E,,25.300000,118.216667,0
,CNYFU,Yongfu,Yongfu,GX,1-3-----,RL,1401,,2459N 10959E,,24.983333,109.983333,1
,CNONG,Yongji,Yongji,61,--3-----,RL,0901,,3920N 11529E,,39.333333,115.483333,0
