change,locode,name,name_wo_diacritics,subdivision,function,status,date,iata,coordinates,remarks,latitude,longitude,is_water_port
,CNLUN,Lu'an,Lu'an,AH,1-3-----,RL,0607,,3144N 11629E,,31.733333,116.483333,1
,CNLJK,Luanjiakou,Luanjiakou,SD,1-------,RL,1401,,,,,,1
,CNUBU,Lubu,Lubu,GD,1-------,RL,1401,,,,,,1
,CNLCP,Lucheng Pt,Lucheng Pt,HB,1-------,RL,1401,,,,,,1
,CNLFN,Lufeng,Lufeng,GD,1-3-----,RL,0601,,2257N 11538E,,22.950000,115.633333,1
,CNLUH,Lü-hua Shan,Lu-hua Shan,ZJ,1-------,RL,0401,,3049N 12237E,,30.816667,122.616667,1
,CNLNN,Lunan,Lunan,AH,1-------,RL,1401,,,,,,1
,CNLUB,Luobei,Luobei,HL,1-------,AS,1601,,4734N 13049E,,47.566667,130.816667,1
,CNLOH,Luohuang,Luohuang,CQ,1-------,RL,1401,,,,,,1
,CNLJT,Luojingtan,Luojingtan,HB,1-------,RL,1401,,,,,,1
,CNLQI,Luoqi,Luoqi,CQ,1-------,RL,1401,,,,,,1
,CNLSH,Lushun New Pt,Lushun New Pt,LN,1-------,AS,1407,,3841N 12111E,,38.683333,121.183333,1
,CNLUS,Lusi,Lusi,JS,1-------,AS,1601,,3203N 12137E,,32.050000,121.616667,1
,CNLXP,Luxikou Pt,Luxikou Pt,HB,1-------,RL,1401,,,,,,1
,CNLZI,Luzhai,Luzhai,GX,1-------,RL,1401,,,,,,1
,CNLUZ,Luzhou,Luzhou,SC,1-------,AS,1601,,2854N 10524E,,28.900000,105.400000,1
,CNMAA,Ma'anshan,Ma'anshan,AH,123-----,AS,2107,,3143N 11828E,,31.716667,118.466667,1
,CNMBI,Mabian Island,Mabian Island,GD,1-------,RQ,1007,,2267N 11465E,,23.116667,115.083333,1
,CNMAC,Macun,Macun,HI,1-------,AS,1401,,1957N 11001E,,19.950000,110.016667,1
,CNSHM,Mafang,Mafang,GD,1-------,AS,1407,,2321N 11241E,,23.350000,112.683333,1
,CNMJS,Maji Shan,Maji Shan,ZJ,1-------,RL,0407,,3040N 12224E,,30.666667,122.400000,1
,CNMJD,Majiadian,Majiadian,HB,1-------,RL,1401,,,,,,1
,CNMAJ,Majistan/Zhoushan,Majistan/Zhoushan,ZJ,1-------,RQ,0407,,3001N 12206E,,30.016667,122.100000,1
,CNMOG,Maogang,Maogang,GD,1-3-----,RQ,1001,,2303N 11244E,,23.050000,112.733333,1
,CNMLG,Maoling,Maoling,GX,1-------,RL,1401,,,,,,1
,CNMPP,Maoping Pt,Maoping Pt,HB,1-------,RL,1401,,,,,,1
,CNMSP,Maoshan Pt,Maoshan Pt,HB,1-------,RL,1401,,,,,,1
,CNMTZ,Matouzhen,Matouzhen,JX,1-------,RL,1401,,,,,,1
,CNMWN,Mawan Pt,Mawan Pt,GD,1-------,AS,1407,,2227N 11353E,,22.450000,113.883333,1
,CNMAW,Mawei Pt,Mawei Pt,FJ,1-------,AS,1407,,2559N 11927E,,25.983333,119.450000,1
,CNMAY,Mayong,Mayong,GD,1-------,AS,1401,,,,,,1
,CNMIO,Meiao,Meiao,ZJ,1-------,RL,1401,,,,,,1
,CNMGG,Meigeng,Meigeng,AH,1-------,RL,1401,,,,,,1
,CNMLI,Meilin,Meilin,FJ,1-------,AS,1401,,,,,,1
,CNMSA,Meisha Pt,Meisha Pt,GD,1-------,AS,1601,,2442N 11704E,,24.700000,117.066667,1
,CNMSN,Meishan,Meishan,ZJ,1-------,AS,1407,,,,,,1
,CNMSG,Meishan Pt,Meishan Pt,ZJ,1-------,AS,1407,,,,,,1
,CNMZW,Meizhouwan,Meizhouwan,FJ,1-------,RL,1401,,,,,,1
,CNMOT,Miaotou,Miaotou,GD,1-------,AS,1401,,,,,,1
,CNMHG,Minxing,Minxing,SH,1-3--6--,RL,1401,,,,,,1
,CNMIY,Miyun,Miyun,11,1----6--,RL,0901,,4022N 11650E,,40.366667,116.833333,1
,CNMOH,Mohe,Mohe,HL,1-------,AS,1601,,5301N 12227E,,53.016667,122.450000,1
,CNLPG,Mouping,Mouping,SD,1-------,RL,1401,,,,,,1
,CNMYM,Moupingyangmadao,Moupingyangmadao,SD,1-------,RL,1401,,,,,,1
,CNMZU,Muzhou,Muzhou,GD,1-------,RL,1401,,,,,,1
,CNGYN,Nanan,Nanan,GD,1-------,AS,1601,,,,,,1
,CNNAN,Nanao Pt,Nanao Pt,GD,1-------,AS,1407,,2326N 11741E,,23.433333,117.683333,1
,CNNAD,Nandu,Nandu,GX,1-------,RL,1401,,,,,,1
,CNNAH,Nanhai Pt,Nanhai Pt,GD,1-------,AS,1407,,2301N 11309E,,23.016667,113.150000,1
,CNNJK,Nanjiangkou,Nanjiangkou,GD,1-------,AS,1401,,2307N 11148E,,23.116667,111.800000,1
,CNNJI,Nanjing,Nanjing,JS,1--45---,AS,1401,,3203N 11846E,,32.050000,118.766667,1
,CNNJG,Nanjing Pt,Nanjing Pt,JS,1-------,AS,1601,,,,,,1
,CNNIN,Nanning,Nanning,GX,1-345---,AS,1601,,2248N 10819E,,22.800000,108.316667,1
,CNNIG,Nanning Pt,Nanning Pt,GX,1-------,AS,1601,,,,,,1
,CNNSA,Nansha Pt,Nansha Pt,GD,1-------,AS,1407,,2245N 11335E,,22.750000,113.583333,1
,CNNTG,Nantong,Nantong,JS,1234----,AS,2107,,3201N 12051E,,32.016667,120.850000,1
,CNNNX,Nanxi,Nanxi,SC,1-------,RL,1401,,,,,,1
,CNNXI,Nanxiang,Nanxiang,GX,1-------,RL,1401,,,,,,1
,CNZNZ,Naozhou,Naozhou,GD,1-------,AS,1407,,2055N 11035E,,20.916667,110.583333,1
,CNNEG,Neigang,Neigang,GD,1-------,RQ,0507,,2306N 11325E,,23.100000,113.416667,1
,CNNSY,Nianshanyapojiao,Nianshanyapojiao,GD,1-------,AS,1401,,,,,,1
,CNNCA,Nicha,Nicha,AH,1-------,RL,1401,,,,,,1
,CNNBO,Ningbo,Ningbo,ZJ,12-4----,AS,2007,,2952N 12133E,,29.866667,121.550000,1
,CNNBG,Ningbo Pt,Ningbo Pt,ZJ,1-------,AS,1401,,2955N 12140E,,29.916667,121.666667,1
,CNNDE,Ningde,Ningde,FJ,1-------,RL,1401,,,,,,1
,CNNMI,Ningming,Ningming,GX,1-------,RL,1401,,,,,,1
,CNNKL,Niuguling,Niuguling,GD,1-------,AS,1401,,,,,,1
,CNNTN,Niutoushan,Niutoushan,AH,1-------,RL,1401,,,,,,1
,CNNUD,Nudao,Nudao,SD,1-------,AS,1401,,3623N 12052E,,36.383333,120.866667,1
,CNPZO,Paizhou,Paizhou,HB,1-------,RL,1401,,,,,,1
,CNPAJ,Panjin,Panjin,LN,1-------,AS,1401,,4107N 12203E,,41.116667,122.050000,1
,CNPNT,Pantang,Pantang,HB,1-------,RL,1401,,,,,,1
,CNPLI,Penglai Pt,Penglai Pt,SD,1-------,AS,1407,,3748N 12045E,,37.800000,120.750000,1
,CNPZE,Pengze,Pengze,JX,1-------,RL,1401,,,,,,1
,CNPKO,Pikou,Pikou,LN,1-------,RL,1401,,,,,,1
,CNPIL,Pingle,Pingle,GX,1-------,RL,1401,,,,,,1
,CNPGN,Pingnan,Pingnan,GX,1-------,RL,1401,,,,,,1
,CNPSH,Pingsha,Pingsha,GD,1-------,RL,1401,,,,,,1
,CNPXM,Pingshaxinmatou,Pingshaxinmatou,GD,1-------,AS,1401,,2206N 11310E,,22.100000,113.166667,1
,CNPTN,Pingtan,Pingtan,FJ,123-----,AA,2301,,2530N 11943E,,25.500000,119.716667,1
