FID,County name,Province name,Storage potential-DSA (Mt),Storage potential-EOR (Mt),Storage potential-ALL (Mt),Injection rate capability-DSA (Mt/a),Injection rate capability-EOR (Mt/a)
181,Quangang District,Fujian,0,0,0,0,0
182,Shishi City,Fujian,0,0,0,0,0
183,Yongchun County,Fujian,0,0,0,0,0
184,Datian County,Fujian,0,0,0,0,0
185,Jianning County,Fujian,0,0,0,0,0
186,Jian'ou County,Fujian,0,0,0,0,0
187,Mingxi County,Fujian,0,0,0,0,0
188,Ninghua County,Fujian,0,0,0,0,0
189,Qingliu County,Fujian,0,0,0,0,0
190,Sanyuan District,Fujian,0,0,0,0,0
191,Shaxian District,Fujian,0,0,0,0,0
192,Taining County,Fujian,0,0,0,0,0
193,Yong'an City,Fujian,0,0,0,0,0
194,Youxi County,Fujian,0,0,0,0,0
195,Haicang District,Fujian,0,0,0,0,0
196,Huli District,Fujian,0,0,0,0,0
197,Jimei District,Fujian,0,0,0,0,0
198,Siming District,Fujian,0,0,0,0,0
199,Tong'an District,Fujian,0,0,0,0,0
200,Xiang'an District,Fujian,0,0,0,0,0
201,Dongshan County,Fujian,0,0,0,0,0
202,Hua'an County,Fujian,0,0,0,0,0
203,Longhai City,Fujian,0,0,0,0,0
204,Longwen District,Fujian,0,0,0,0,0
205,Nanjing County,Fujian,0,0,0,0,0
206,Pinghe County,Fujian,0,0,0,0,0
207,Xiangcheng District,Fujian,0,0,0,0,0
208,Yunxiao County,Fujian,0,0,0,0,0
209,Zhangpu County,Fujian,0,0,0,0,0
210,Changtai District,Fujian,0,0,0,0,0
211,Zhao'an County,Fujian,0,0,0,0,0
212,Baiyin District,Gansu,0,0,0,0,0
213,Huining County,Gansu,0,0,0,0,0
214,Jingtai County,Gansu,0,0,0,0,0
215,Jingyuan County,Gansu,0,0,0,0,0
216,Pingchuan District,Gansu,0,0,0,0,0
217,Anding District,Gansu,0,0,0,0,0
218,Lintao County,Gansu,0,0,0,0,0
219,Longxi County,Gansu,0,0,0,0,0
220,Min County,Gansu,0,0,0,0,0
221,Tongwei County,Gansu,0,0,0,0,0
222,Weiyuan County,Gansu,0,0,0,0,0
223,Zhang County,Gansu,0,0,0,0,0
224,Diebu County,Gansu,0,0,0,0,0
225,Hezuo City,Gansu,0,0,0,0,0
